ProductID,ProductName,Category,Brand,Price,Rating,NumberOfReviews,StockQuantity,DiscountPercentage,WarrantyMonths,SoldUnits,DemandLevel
EOS-00027,Samsung Gaming Monitor Q671,Monitor,Samsung,769.29,3.8,156.0,199.0,0.0,36.0,478,Medium
EOS-00028,TCL QLED TV C748,TV,TCL,616.14,4.0,54.0,235.0,22.0,36.0,467,Medium
EOS-00029,Asus Creator Laptop Q225,Laptop,Asus,907.17,4.6,226.0,151.0,15.0,36.0,445,Medium
EOS-00030,Apple Gaming Laptop D814,Laptop,Apple,2363.85,,262.0,186.0,27.0,36.0,470,Medium
EOS-00031,Samsung Drawing Tablet E225,Tablet,Samsung,562.46,4.5,60.0,233.0,6.0,24.0,546,Medium
EOS-00032,Logitech Webcam S749,Accessory,Logitech,126.58,4.3,575.0,0.0,34.0,24.0,641,High
EOS-00033,Microsoft Tablet L138,Tablet,Microsoft,331.11,4.2,214.0,31.0,0.0,24.0,521,Medium
EOS-00034,Logitech Power Bank R359,Accessory,Logitech,,4.4,175.0,80.0,12.0,24.0,520,Medium
EOS-00035,Dell 2-in-1 Laptop A860,Laptop,Dell,1767.2,2.9,47.0,0.0,6.0,36.0,350,Low
EOS-00036,Samsung Ultrawide Monitor B569,Monitor,Samsung,374.89,4.7,159.0,88.0,0.0,12.0,570,Medium
EOS-00037,GoPro Vlogging Camera B588,Camera,GoPro,615.67,4.3,135.0,194.0,7.0,12.0,403,Medium
EOS-00038,Panasonic Action Camera O721,Camera,Panasonic,1157.26,4.7,114.0,204.0,11.0,36.0,510,Medium
EOS-00039,Sony Gaming Headset D953,Headphones,Sony,163.35,4.1,300.0,153.0,14.0,12.0,330,Low
EOS-00040,Microsoft Pro Tablet A321,Tablet,Microsoft,414.83,5.0,305.0,154.0,10.0,24.0,631,High
EOS-00041,Samsung Fitness Watch L321,Smartwatch,Samsung,315.9,5.0,175.0,136.0,21.0,24.0,470,Medium
EOS-00042,Samsung Gaming Monitor M911,Monitor,Samsung,698.19,4.4,302.0,109.0,20.0,12.0,395,Low
EOS-00043,AOC Office Monitor W792,Monitor,AOC,979.08,4.5,83.0,0.0,8.0,36.0,399,Low
EOS-00044,Hisense Mini LED TV K280,TV,Hisense,1307.23,4.0,253.0,176.0,6.0,36.0,499,Medium
EOS-00045,Belkin Wireless Mouse D945,Accessory,Belkin,163.01,3.8,371.0,148.0,33.0,6.0,355,Low
EOS-00046,Apple Budget Phone H814,Smartphone,Apple,465.59,4.6,10.0,11.0,5.0,24.0,447,Medium
EOS-00047,Apple Creator Laptop J208,Laptop,Apple,,4.4,195.0,150.0,39.0,24.0,439,Medium
EOS-00048,Lenovo Mini Tablet M646,Tablet,Lenovo,375.63,3.5,141.0,133.0,5.0,12.0,510,Medium
EOS-00049,JBL Studio Headphones H685,Headphones,JBL,82.52,4.0,179.0,143.0,0.0,12.0,574,Medium
EOS-00050,LG OLED TV Z238,TV,LG,1095.21,3.4,241.0,47.0,4.0,24.0,460,Medium
EOS-00051,Philips Smart TV T166,TV,Philips,1032.91,3.1,48.0,93.0,24.0,24.0,367,Low
EOS-00052,HP 2-in-1 Laptop O690,Laptop,HP,913.6,4.3,249.0,12.0,21.0,12.0,442,Medium
EOS-00053,AOC Curved Monitor T782,Monitor,AOC,730.77,4.1,91.0,99.0,15.0,24.0,439,Medium
EOS-00054,Asus Gaming Monitor R878,Monitor,Asus,331.83,2.7,403.0,101.0,0.0,24.0,426,Medium
EOS-00055,Acer Creator Laptop I545,Laptop,Acer,621.04,4.4,504.0,106.0,13.0,24.0,490,Medium
EOS-00056,JBL Earbuds D965,Headphones,JBL,335.38,3.4,223.0,69.0,17.0,12.0,249,Low
EOS-00057,Amazfit Fitness Watch H868,Smartwatch,Amazfit,303.64,3.1,33.0,93.0,0.0,24.0,365,Low
EOS-00058,Apple Tablet E522,Tablet,Apple,1300.0,4.2,195.0,187.0,22.0,24.0,285,Low
EOS-00059,Samsung Smartwatch C614,Smartwatch,Samsung,256.23,3.8,186.0,196.0,0.0,12.0,262,Low
EOS-00060,Bose Gaming Headset N307,Headphones,Bose,261.27,3.9,62.0,203.0,3.0,6.0,409,Medium
EOS-00061,Lenovo Gaming Laptop C305,Laptop,Lenovo,763.63,4.0,127.0,20.0,23.0,36.0,475,Medium
EOS-00062,Motorola Smartphone M386,Smartphone,Motorola,391.68,4.8,182.0,50.0,1.0,24.0,605,High
EOS-00063,Logitech Webcam A352,Accessory,Logitech,122.99,4.4,33.0,200.0,29.0,12.0,343,Low
EOS-00064,Sony DSLR Camera E233,Camera,Sony,831.87,3.5,150.0,58.0,39.0,36.0,508,Medium
EOS-00065,Sony Console Bundle P859,Gaming Console,Sony,660.97,4.3,245.0,153.0,0.0,12.0,293,Low
EOS-00066,Hisense 4K TV I930,TV,Hisense,1402.13,4.7,150.0,53.0,19.0,24.0,428,Medium
EOS-00067,Belkin Power Bank P408,Accessory,Belkin,87.11,4.1,154.0,54.0,13.0,6.0,440,Medium
EOS-00068,LG Curved Monitor A786,Monitor,LG,829.6,4.6,291.0,70.0,1.0,24.0,582,Medium
EOS-00069,Hisense Smart TV Z243,TV,Hisense,1082.79,4.1,128.0,147.0,8.0,12.0,482,Medium
EOS-00070,Xiaomi Budget Phone Z686,Smartphone,Xiaomi,477.8,4.8,54.0,0.0,15.0,12.0,632,High
EOS-00071,Valve Handheld Console O988,Gaming Console,Valve,226.75,3.8,81.0,107.0,32.0,24.0,709,High
EOS-00072,Philips OLED TV X403,TV,Philips,1325.94,4.2,835.0,80.0,26.0,36.0,592,Medium
EOS-00073,Logitech Gaming Headset D530,Headphones,Logitech,184.23,4.2,65.0,125.0,16.0,6.0,410,Medium
EOS-00074,JBL Studio Headphones G371,Headphones,JBL,179.5,3.4,243.0,0.0,0.0,6.0,411,Medium
EOS-00075,Dell Curved Monitor Z461,Monitor,Dell,321.46,3.4,58.0,217.0,9.0,,306,Low
EOS-00076,Samsung Pro Smartphone G138,Smartphone,Samsung,515.67,4.6,86.0,163.0,0.0,12.0,497,Medium
EOS-00077,Razer Webcam D220,Accessory,Razer,78.31,3.3,157.0,77.0,19.0,12.0,500,Medium
EOS-00078,AOC Curved Monitor I505,Monitor,AOC,672.57,4.7,23.0,69.0,16.0,36.0,593,Medium
EOS-00079,Huawei Smartwatch L886,Smartwatch,Huawei,325.92,4.0,203.0,245.0,18.0,24.0,414,Medium
EOS-00080,HP Business Notebook X433,Laptop,HP,1813.02,4.3,322.0,105.0,19.0,36.0,202,Low
EOS-00081,Google Foldable Phone X577,Smartphone,Google,,3.6,354.0,287.0,14.0,24.0,660,High
EOS-00082,Fujifilm DSLR Camera A682,Camera,Fujifilm,532.09,3.9,82.0,132.0,11.0,24.0,579,Medium
EOS-00083,Hisense QLED TV L988,TV,Hisense,1038.31,3.2,203.0,22.0,17.0,36.0,558,Medium
EOS-00084,AOC Office Monitor T234,Monitor,AOC,695.63,3.8,102.0,233.0,36.0,36.0,500,Medium
EOS-00085,Huawei Hybrid Watch X759,Smartwatch,Huawei,456.35,4.0,82.0,174.0,15.0,12.0,452,Medium
EOS-00086,MSI 2-in-1 Laptop I352,Laptop,MSI,2328.33,3.7,31.0,58.0,15.0,12.0,362,Low
EOS-00087,Corsair Power Bank F495,Accessory,Corsair,114.36,2.8,112.0,132.0,14.0,6.0,492,Medium
EOS-00088,Asus Gaming Laptop K830,Laptop,Asus,1215.9,4.5,96.0,177.0,3.0,24.0,551,Medium
EOS-00089,Xiaomi Budget Phone X644,Smartphone,Xiaomi,757.42,3.5,202.0,115.0,16.0,12.0,444,Medium
EOS-00090,Apple 5G Phone G220,Smartphone,Apple,724.79,3.9,371.0,209.0,7.0,12.0,429,Medium
EOS-00091,Google Smartphone U668,Smartphone,Google,359.31,3.9,34.0,145.0,30.0,24.0,606,High
EOS-00092,OnePlus Budget Phone U365,Smartphone,OnePlus,610.1,4.1,109.0,21.0,22.0,12.0,464,Medium
EOS-00093,Canon DSLR Camera Z786,Camera,Canon,1707.49,4.9,210.0,216.0,28.0,24.0,579,Medium
EOS-00094,Meta Gaming Console V923,Gaming Console,Meta,263.43,4.7,261.0,110.0,1.0,24.0,578,Medium
EOS-00095,Apple Smartphone N123,Smartphone,Apple,380.27,4.2,149.0,113.0,12.0,24.0,649,High
EOS-00096,LG Curved Monitor V742,Monitor,LG,470.83,3.6,356.0,220.0,15.0,36.0,494,Medium
EOS-00097,Lenovo Tablet F867,Tablet,Lenovo,370.69,4.0,238.0,103.0,27.0,24.0,647,High
EOS-00098,Nikon Action Camera L105,Camera,Nikon,1033.52,4.0,375.0,30.0,0.0,24.0,346,Low
EOS-00099,Garmin GPS Watch V413,Smartwatch,Garmin,708.65,3.8,113.0,0.0,13.0,12.0,256,Low
EOS-00100,Logitech Wireless Headphones H799,Headphones,Logitech,191.06,3.3,,174.0,14.0,6.0,451,Medium
EOS-00101,Dell 4K Monitor M472,Monitor,Dell,834.02,3.9,247.0,267.0,0.0,36.0,426,Medium
EOS-00102,Sennheiser Studio Headphones E820,Headphones,Sennheiser,151.2,3.6,87.0,68.0,42.0,6.0,525,Medium
EOS-00103,Corsair Wireless Mouse C497,Accessory,Corsair,,3.0,13.0,222.0,14.0,24.0,523,Medium
EOS-00104,Sony Noise Cancelling Headphones I823,Headphones,Sony,122.15,4.3,220.0,51.0,0.0,12.0,358,Low
EOS-00105,Garmin Sports Watch D440,Smartwatch,Garmin,407.2,4.3,391.0,59.0,35.0,12.0,608,High
EOS-00106,Corsair Wireless Mouse K578,Accessory,Corsair,42.96,4.5,384.0,151.0,6.0,6.0,611,High
EOS-00107,OnePlus Smartphone S992,Smartphone,OnePlus,619.92,4.4,105.0,121.0,4.0,24.0,581,Medium
EOS-00108,Microsoft USB-C Hub K315,Accessory,Microsoft,102.51,3.7,151.0,243.0,19.0,6.0,351,Low
EOS-00109,JBL Gaming Headset A293,Headphones,JBL,177.22,3.3,146.0,187.0,17.0,6.0,274,Low
EOS-00110,Logitech Power Bank Z755,Accessory,Logitech,64.36,3.4,66.0,0.0,22.0,12.0,274,Low
EOS-00111,Apple Gaming Headset J555,Headphones,Apple,135.41,3.4,255.0,158.0,21.0,24.0,513,Medium
EOS-00112,TCL OLED TV E542,TV,TCL,,4.0,35.0,197.0,18.0,12.0,541,Medium
EOS-00113,Asus Ultrabook Y427,Laptop,Asus,1373.91,4.2,458.0,176.0,47.0,24.0,553,Medium
EOS-00114,Garmin Sports Watch Z104,Smartwatch,Garmin,890.7,4.2,82.0,122.0,11.0,24.0,234,Low
EOS-00115,Google 5G Phone N277,Smartphone,Google,472.27,3.8,123.0,194.0,0.0,12.0,481,Medium
EOS-00116,Acer Creator Laptop W967,Laptop,Acer,1873.73,3.2,259.0,17.0,14.0,,460,Medium
EOS-00117,Razer Webcam S274,Accessory,Razer,23.85,3.8,132.0,136.0,29.0,6.0,501,Medium
EOS-00118,Canon Mirrorless Camera A419,Camera,Canon,1210.69,3.0,459.0,117.0,,36.0,505,Medium
EOS-00119,HP Gaming Laptop F214,Laptop,HP,1663.16,4.1,232.0,165.0,9.0,,428,Medium
EOS-00120,Asus Business Notebook F245,Laptop,Asus,1904.24,4.5,152.0,115.0,19.0,12.0,407,Medium
EOS-00121,Google Foldable Phone S188,Smartphone,Google,829.84,3.9,69.0,15.0,17.0,24.0,209,Low
EOS-00122,Apple Wireless Headphones K744,Headphones,Apple,186.23,3.2,368.0,150.0,42.0,12.0,432,Medium
EOS-00123,AOC 4K Monitor Q733,Monitor,AOC,443.64,4.8,137.0,136.0,36.0,24.0,567,Medium
EOS-00124,Sennheiser Studio Headphones V301,Headphones,Sennheiser,161.23,3.3,44.0,6.0,16.0,6.0,271,Low
EOS-00125,OnePlus Pro Smartphone C775,Smartphone,OnePlus,307.98,3.8,424.0,169.0,16.0,24.0,531,Medium
EOS-00126,Logitech Studio Headphones D198,Headphones,Logitech,171.59,3.7,146.0,54.0,10.0,12.0,390,Low
EOS-00127,JBL Wireless Headphones V428,Headphones,JBL,119.54,4.7,188.0,164.0,0.0,24.0,676,High
EOS-00128,Logitech Studio Headphones H496,Headphones,Logitech,64.45,3.1,173.0,221.0,11.0,24.0,226,Low
EOS-00129,Asus Gaming Monitor U989,Monitor,Asus,861.24,4.7,131.0,173.0,21.0,24.0,435,Medium
EOS-00130,Apple Pro Smartphone U488,Smartphone,Apple,277.67,3.5,383.0,188.0,17.0,12.0,4333,High
EOS-00131,Fitbit Sports Watch H302,Smartwatch,Fitbit,376.36,3.1,83.0,104.0,0.0,24.0,386,Low
EOS-00132,Motorola Pro Smartphone X728,Smartphone,Motorola,631.89,3.6,55.0,85.0,1.0,12.0,352,Low
EOS-00133,Meta Retro Console U755,Gaming Console,Meta,374.48,3.2,49.0,202.0,0.0,12.0,489,Medium
EOS-00134,Dell Creator Laptop K220,Laptop,Dell,586.67,2.7,277.0,98.0,0.0,36.0,414,Medium
EOS-00135,Sennheiser Noise Cancelling Headphones K313,Headphones,Sennheiser,176.28,4.9,60.0,209.0,30.0,6.0,623,High
EOS-00136,Microsoft Handheld Console X668,Gaming Console,Microsoft,316.92,4.2,123.0,135.0,6.0,12.0,505,Medium
EOS-00137,Dell Gaming Laptop E586,Laptop,Dell,1242.43,4.4,318.0,209.0,0.0,12.0,625,High
EOS-00138,GoPro Vlogging Camera T244,Camera,GoPro,975.82,4.2,302.0,198.0,15.0,24.0,449,Medium
EOS-00139,Xiaomi Budget Phone D360,Smartphone,Xiaomi,303.17,4.0,136.0,117.0,6.0,24.0,672,High
EOS-00140,Huawei Smartwatch E299,Smartwatch,Huawei,375.17,3.0,247.0,297.0,1.0,24.0,638,High
EOS-00141,Sennheiser Earbuds W364,Headphones,Sennheiser,179.75,3.6,139.0,139.0,20.0,24.0,414,Medium
EOS-00142,BenQ Ultrawide Monitor A474,Monitor,BenQ,269.77,3.4,97.0,85.0,22.0,36.0,517,Medium
EOS-00143,Lenovo Creator Laptop T406,Laptop,Lenovo,1134.57,3.2,98.0,158.0,9.0,12.0,343,Low
EOS-00144,Samsung QLED TV Q973,TV,Samsung,438.99,4.1,468.0,148.0,27.0,36.0,352,Low
EOS-00145,Apple Smartphone Z178,Smartphone,Apple,628.12,3.7,98.0,36.0,27.0,12.0,583,Medium
EOS-00146,OnePlus Foldable Phone V250,Smartphone,OnePlus,467.59,4.0,153.0,127.0,12.0,24.0,551,Medium
EOS-00147,Xiaomi Pro Smartphone U285,Smartphone,Xiaomi,623.82,3.8,376.0,38.0,23.0,24.0,498,Medium
EOS-00148,Xiaomi Budget Phone R394,Smartphone,Xiaomi,449.09,3.6,95.0,174.0,35.0,24.0,463,Medium
EOS-00149,TCL QLED TV R963,TV,TCL,776.8,3.4,134.0,188.0,3.0,36.0,453,Medium
EOS-00150,Sony Gaming Headset Q401,Headphones,Sony,180.97,3.3,173.0,232.0,24.0,12.0,248,Low
EOS-00151,Apple Gaming Headset Z293,Headphones,Apple,77.35,4.2,290.0,129.0,18.0,24.0,417,Medium
EOS-00152,Samsung Budget Phone Y240,Smartphone,Samsung,486.09,4.0,203.0,101.0,16.0,12.0,556,Medium
EOS-00153,Samsung Ultrawide Monitor Z748,Monitor,Samsung,218.03,4.2,,97.0,22.0,36.0,576,Medium
EOS-00154,Anker Mechanical Keyboard F133,Accessory,Anker,115.83,3.5,235.0,239.0,4.0,24.0,480,Medium
EOS-00155,Apple GPS Watch O985,Smartwatch,Apple,327.72,4.1,122.0,66.0,7.0,12.0,401,Medium
EOS-00156,Samsung Smartphone T823,Smartphone,Samsung,358.71,3.8,233.0,146.0,11.0,12.0,499,Medium
EOS-00157,Dell Curved Monitor E403,Monitor,Dell,282.66,4.4,59.0,201.0,18.0,12.0,586,Medium
EOS-00158,Motorola Smartphone F759,Smartphone,Motorola,460.79,3.7,53.0,2.0,23.0,12.0,436,Medium
EOS-00159,Lenovo Pro Tablet S658,Tablet,Lenovo,495.44,2.9,180.0,143.0,0.0,24.0,422,Medium
EOS-00160,Apple 5G Phone B372,Smartphone,Apple,456.71,3.1,204.0,54.0,8.0,12.0,502,Medium
EOS-00161,Belkin USB-C Hub A532,Accessory,Belkin,92.61,3.7,202.0,165.0,21.0,24.0,281,Low
EOS-00162,Fitbit Fitness Watch D120,Smartwatch,Fitbit,162.84,3.4,292.0,209.0,14.0,12.0,398,Low
EOS-00163,Xiaomi 5G Phone F529,Smartphone,Xiaomi,494.79,3.5,340.0,242.0,14.0,24.0,398,Low
EOS-00164,Samsung Pro Smartphone S559,Smartphone,Samsung,222.43,3.8,26.0,66.0,4.0,12.0,525,Medium
EOS-00165,AOC Office Monitor N268,Monitor,AOC,334.23,4.5,52.0,88.0,16.0,24.0,493,Medium
EOS-00166,Asus Ultrabook H782,Laptop,Asus,1169.11,3.8,254.0,108.0,16.0,24.0,468,Medium
EOS-00167,Asus Business Notebook G868,Laptop,Asus,1515.91,4.1,96.0,112.0,5.0,12.0,405,Medium
EOS-00168,Dell Ultrabook U762,Laptop,Dell,1555.05,4.1,281.0,157.0,18.0,24.0,620,High
EOS-00169,Apple Gaming Headset O361,Headphones,Apple,177.33,3.2,308.0,52.0,29.0,6.0,508,Medium
EOS-00170,Apple Foldable Phone B891,Smartphone,Apple,1213.61,4.1,146.0,170.0,20.0,24.0,351,Low
EOS-00171,Dell 4K Monitor L606,Monitor,Dell,683.48,2.6,172.0,221.0,9.0,12.0,369,Low
EOS-00172,Sony OLED TV E338,TV,Sony,799.3,4.2,274.0,264.0,5.0,24.0,515,Medium
EOS-00173,Samsung Office Monitor I473,Monitor,Samsung,748.42,3.3,315.0,155.0,21.0,36.0,288,Low
EOS-00174,Razer Wireless Mouse I949,Accessory,Razer,97.99,4.2,118.0,197.0,14.0,24.0,440,Medium
EOS-00175,Xiaomi Budget Phone H362,Smartphone,Xiaomi,608.61,3.3,145.0,0.0,4.0,12.0,378,Low
EOS-00176,Razer Webcam Y742,Accessory,Razer,83.03,3.7,90.0,143.0,22.0,24.0,544,Medium
EOS-00177,Apple Mini Tablet Y566,Tablet,Apple,209.8,4.8,179.0,80.0,24.0,24.0,706,High
EOS-00178,Apple Business Notebook H924,Laptop,Apple,1450.37,4.3,272.0,164.0,11.0,36.0,522,Medium
EOS-00179,Huawei Mini Tablet N701,Tablet,Huawei,328.88,4.0,146.0,284.0,8.0,12.0,595,Medium
EOS-00180,Nintendo VR Bundle Z417,Gaming Console,Nintendo,262.93,3.8,178.0,152.0,30.0,12.0,781,High
EOS-00181,LG 4K TV B332,TV,LG,817.86,,112.0,125.0,23.0,12.0,502,Medium
EOS-00182,Apple Mini Tablet P625,Tablet,Apple,642.05,3.6,99.0,221.0,22.0,24.0,772,High
EOS-00183,Razer Power Bank I204,Accessory,Razer,59.1,3.4,118.0,153.0,15.0,24.0,571,Medium
EOS-00184,Lenovo Tablet R851,Tablet,Lenovo,204.73,3.4,28.0,121.0,9.0,12.0,580,Medium
EOS-00185,Lenovo Kids Tablet G360,Tablet,Lenovo,511.66,3.0,130.0,114.0,5.0,24.0,413,Medium
EOS-00186,Anker Wireless Mouse N127,Accessory,Anker,70.58,4.2,226.0,185.0,26.0,12.0,569,Medium
EOS-00187,Samsung OLED TV N737,TV,Samsung,933.3,3.2,159.0,136.0,5.0,36.0,491,Medium
EOS-00188,AOC 4K Monitor Q347,Monitor,AOC,659.29,3.4,48.0,65.0,2.0,36.0,331,Low
EOS-00189,Logitech Power Bank S381,Accessory,Logitech,46.29,4.5,209.0,19.0,6.0,6.0,519,Medium
EOS-00190,Bose Wireless Headphones M102,Headphones,Bose,252.12,3.3,188.0,205.0,21.0,24.0,371,Low
EOS-00191,Apple Tablet H209,Tablet,Apple,622.41,3.9,199.0,174.0,25.0,12.0,214,Low
EOS-00192,Garmin Smartwatch M687,Smartwatch,Garmin,549.18,4.0,305.0,162.0,19.0,24.0,691,High
EOS-00193,Google 5G Phone B589,Smartphone,Google,1019.4,3.8,316.0,310.0,5.0,12.0,356,Low
EOS-00194,Xiaomi 5G Phone O188,Smartphone,Xiaomi,700.62,3.7,476.0,220.0,18.0,24.0,625,High
EOS-00195,Philips 4K TV R136,TV,Philips,1097.92,4.2,550.0,159.0,30.0,12.0,343,Low
EOS-00196,LG Gaming Monitor P342,Monitor,LG,572.0,4.5,70.0,148.0,14.0,12.0,723,High
EOS-00197,Samsung QLED TV B451,TV,Samsung,2432.46,3.9,18.0,186.0,3.0,12.0,357,Low
EOS-00198,Nikon Instant Camera U916,Camera,Nikon,966.99,4.1,53.0,140.0,18.0,12.0,740,High
EOS-00199,Bose Wireless Headphones N853,Headphones,Bose,450.0,4.8,308.0,68.0,24.0,6.0,360,Low
EOS-00200,BenQ Ultrawide Monitor S271,Monitor,BenQ,665.06,3.6,154.0,110.0,24.0,,476,Medium
EOS-00201,Samsung GPS Watch R533,Smartwatch,Samsung,522.16,4.0,21.0,13.0,18.0,12.0,293,Low
EOS-00202,Huawei Hybrid Watch P598,Smartwatch,Huawei,257.71,4.5,182.0,69.0,0.0,12.0,295,Low
EOS-00203,Lenovo Business Notebook P432,Laptop,Lenovo,565.45,3.2,306.0,77.0,7.0,24.0,252,Low
EOS-00204,Samsung Mini Tablet B820,Tablet,Samsung,495.33,4.6,147.0,23.0,27.0,24.0,523,Medium
EOS-00205,MSI Business Notebook P709,Laptop,MSI,781.7,4.2,286.0,134.0,21.0,24.0,707,High
EOS-00206,Acer Business Notebook R713,Laptop,Acer,1719.7,4.5,98.0,167.0,5.0,24.0,532,Medium
EOS-00207,HP 2-in-1 Laptop C793,Laptop,HP,690.31,3.3,133.0,80.0,5.0,12.0,649,High
EOS-00208,Razer USB-C Hub D917,Accessory,Razer,100.44,4.3,70.0,0.0,17.0,24.0,595,Medium
EOS-00209,Sony Handheld Console J943,Gaming Console,Sony,360.04,3.9,161.0,226.0,14.0,24.0,516,Medium
EOS-00210,Samsung Hybrid Watch M653,Smartwatch,Samsung,298.16,2.8,97.0,168.0,17.0,12.0,559,Medium
EOS-00211,LG Mini LED TV N527,TV,LG,1878.57,3.8,,145.0,24.0,12.0,400,Medium
EOS-00212,Apple Smartwatch Q283,Smartwatch,Apple,285.92,5.0,127.0,262.0,23.0,12.0,626,High
EOS-00213,Sony Studio Headphones K611,Headphones,Sony,176.76,4.1,131.0,69.0,4.0,6.0,557,Medium
EOS-00214,Apple Studio Headphones R928,Headphones,Apple,225.67,4.0,102.0,271.0,0.0,12.0,297,Low
EOS-00215,Bose Studio Headphones U625,Headphones,Bose,133.44,2.8,261.0,234.0,19.0,24.0,711,High
EOS-00216,Apple GPS Watch K266,Smartwatch,Apple,383.89,3.0,206.0,174.0,32.0,24.0,481,Medium
EOS-00217,Sennheiser Earbuds F929,Headphones,Sennheiser,293.61,3.5,282.0,,20.0,6.0,508,Medium
EOS-00218,LG OLED TV W785,TV,,3302.04,4.3,241.0,72.0,29.0,24.0,291,Low
EOS-00219,AOC Curved Monitor K609,Monitor,AOC,581.14,4.6,71.0,116.0,24.0,24.0,451,Medium
EOS-00220,JBL Gaming Headset M177,Headphones,JBL,116.65,4.0,275.0,246.0,6.0,24.0,638,High
EOS-00221,Google Smartphone T588,Smartphone,Google,1147.74,3.6,144.0,60.0,14.0,24.0,543,Medium
EOS-00222,Apple Earbuds W602,Headphones,Apple,121.68,4.3,139.0,63.0,32.0,24.0,609,High
EOS-00223,Logitech Mechanical Keyboard G326,Accessory,Logitech,36.89,4.7,75.0,88.0,18.0,12.0,596,Medium
EOS-00224,JBL Noise Cancelling Headphones E596,Headphones,,83.24,3.8,162.0,111.0,14.0,6.0,709,High
EOS-00225,Logitech Noise Cancelling Headphones E259,Headphones,Logitech,186.64,4.9,212.0,161.0,29.0,24.0,545,Medium
EOS-00226,Google Budget Phone M572,Smartphone,Google,532.65,4.7,22.0,57.0,14.0,24.0,690,High
EOS-00227,Garmin Smartwatch Q355,Smartwatch,Garmin,213.72,4.5,57.0,213.0,17.0,24.0,293,Low
EOS-00228,Microsoft Console Bundle X183,Gaming Console,Microsoft,517.65,4.0,56.0,134.0,16.0,12.0,420,Medium
EOS-00229,Samsung Mini Tablet F826,Tablet,Samsung,513.19,3.7,112.0,118.0,37.0,12.0,332,Low
EOS-00230,Fitbit Fitness Watch Q675,Smartwatch,Fitbit,262.78,3.5,,227.0,4.0,24.0,285,Low
EOS-00231,Hisense Mini LED TV E197,TV,Hisense,1011.77,3.9,247.0,102.0,0.0,12.0,452,Medium
EOS-00232,Google Foldable Phone R873,Smartphone,Google,878.44,3.6,33.0,192.0,8.0,24.0,336,Low
